kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
7031726,non-candidate,0.566793534,131.8368,0.06,4.714,92.4,86.99,40.4,1,0.8556,3420,0.269,138.056,1.291,11.476
8073806,candidate,11.96407399,133.15804,0.903,4.526,784.2,84.85,22.9,1,0.0376,5903,4.437,0.961,0.922,15.361
9034103,candidate,7.13969705,137.18652,0.027,3.981,512.9,89.89,27.8,1,0.8873,6014,4.486,0.993,1.101,15.906
9110357,non-candidate,0.895277575,133.411986,0.928,2.711,534.5,50.55,132.1,1,0.0789,8040,3.707,3.325,2.053,13.574
6131236,candidate,6.79685353,138.11324,0.62,3.1702,393.1,87.32,29.8,1,0.6208,6061,4.486,0.97,1.05,15.391
8873873,candidate,295.06066,314.2081,0.052,16.18,72.2,89.98,10.4,1,0.3943,5332,4.524,0.762,0.708,11.922
10345862,non-candidate,58.28819056,135.87642,0.499,21.6014,156160,88.92,2927.4,1,0,5463,4.353,1.044,0.894,14.231
11147460,non-candidate,2.053866175,132.944062,1.265,4.8045,5021.3,51.71,380.5,1,0.0421,5051,3.22,4.089,1.014,13.912
10064591,candidate,284.9421278,359.5238684,,3.2,,,,1,,,,,,13.248
11804465,candidate,4.437962934,171.0091259,0.069,4.69813,16388,89.51,3535.6,1,0.4049,5953,4.175,1.415,1.093,13.438
4247991,candidate,13.72549689,145.03352,,7.62,,,,3,,,,,,12.57
9640921,non-candidate,80.7060641,139.436835,0.956,6.8899,11852,89.04,268.1,2,0.3346,6053,4.494,0.949,1.025,15.395
10651816,non-candidate,3.1877519,134.418,1.178,14.836,452.3,19.21,83.2,1,0.2749,5532,4.489,0.896,0.904,14.64
6964929,candidate,5.06993245,135.836,0.3584,3.241,93.6,88.24,11.6,2,,5957,4.506,0.937,1.026,14.758
9884104,candidate,22.71443351,147.29684,0.816,6.0875,575.1,87.36,74.4,3,0.4075,5788,4.16,1.495,1.179,13.764
2852528,non-candidate,11.9615433,131.895,0.576,3.129,424.5,88.66,12.4,1,0.2892,6142,4.456,1.046,1.143,15.709
9353182,non-candidate,10.47625827,136.5282906,0.318,7.77203,120210,88.62,8251.5,1,0,6109,4.097,1.536,1.076,12.421
6346809,candidate,17.57704569,137.73116,1.25,2.022,670,85.89,19.1,1,0.6748,5653,4.442,0.901,0.819,14.94
9086154,candidate,225.26213,224.9887,0.349,14.459,389.2,89.82,24.6,1,0.016,5799,4.276,1.191,0.977,13.841
4995716,candidate,16.1191449,146.7978,0.6704,3.039,262.2,88.81,8.2,1,,5319,4.514,0.783,0.729,15.696
5078879,non-candidate,1.039370613,131.62419,0.976,1.0713,743.6,69.37,182.9,1,0.9789,6429,3.615,3.137,1.479,13.028
1868404,non-candidate,6.12601169,134.83637,0.422,1.733,40.2,89.02,7,1,0.4782,5679,4.146,1.286,0.844,12.975
